There Is No-One What Will Take... (RDL 102),THE PALACE BROTHERS,1900,1990s,1993,country-rock,Estados Unidos,folk-rock,indie rock,lo-fi,-,-,-,-,-,-,-,-
Part Lies Part Heart Part Truth Part Garbage...,R.E.M.,1900,1980s,1990s,2000s,2010s,2011,Estados Unidos,nuevo rock americano,rock,-,-,-,-,-,-,-
Time Out Of Mind,BOB DYLAN,1900,1990s,1997,americana,blues-rock,country-blues,Estados Unidos,folk-rock,rhythm'n'blues,rock,roots rock,-,-,-,-,-
Freedom Of Speech,SPEECH DEBELLE,1900,2010s,2012,conscious hip hop,hip hop,Inglaterra,-,-,-,-,-,-,-,-,-,-
Patience (After Sebald),THE CARETAKER,1900,2010s,2012,ambient,bandas sonoras,dark ambient,electrónica,Inglaterra,música experimental,-,-,-,-,-,-,-
Chorando apréndese,EMILIO JOSÉ,1900,2000s,2009,en gallego,pop,pop electrónico,Quins,-,-,-,-,-,-,-,-,-
The Master,RAVI SHANKAR,1900,1970s,1980s,2010,India,raga,recopilación,-,-,-,-,-,-,-,-,-
"Marinai, profeti e balene",VINICIO CAPOSSELA,1900,2010s,2011,canción,folk,Italia,música experimental,pop-rock,-,-,-,-,-,-,-,-
Tots Sants,REFREE,1900,2010s,2012,Barcelona,canción,en catalán,pop,pop-folk,pop-jazz,-,-,-,-,-,-,-
Slow Dance,JEREMY JAY,1900,2000s,2009,Estados Unidos,new wave,pop,pop-rock,-,-,-,-,-,-,-,-,-
Una araña a punto de comerse una mosca,REMATE,1900,2010s,2012,folk-pop,Madrid,pop,-,-,-,-,-,-,-,-,-,-
Com començar una guerra,TIGER MENJA ZEBRA,1900,2010s,2012,electrónica,experimental rock,Granollers,noise,post-pop,-,-,-,-,-,-,-,-
Brrr,LITTLE WINGS,1900,2000s,2010s,2012,Estados Unidos,folk-rock,indie rock,lo-fi,recopilación,soft rock,soul-folk,-,-,-,-,-
Ácido niño,GABRIEL Y VENCERÁS,1900,2010s,2012,Barcelona,indie pop,pop,pop psicodélico,Zaragoza,-,-,-,-,-,-,-,-
Lluny del camí ral,XAVIER BARÓ,1900,2000s,2009,Almacelles,en catalán,folk,-,-,-,-,-,-,-,-,-,-
Moffou,SALIF KEITA,1900,2000s,2002,afropop,folk,Malí,música africana,world music,-,-,-,-,-,-,-,-
"Hurry Up, We're Dreaming",M83,1900,2010s,2011,ambient pop,dream pop,electrónica,Francia,indie rock,pop,shoegazing,space rock,synthpop,-,-,-,-
Repulsión,CLAUSTROFOBIA,1900,1980s,1987,Barcelona,mestizaje,pop,-,-,-,-,-,-,-,-,-,-
Maracaibo,LA ESTRELLA DE DAVID,1900,2010s,2011,indie rock,pop,Sant Feliu de Llobregat,-,-,-,-,-,-,-,-,-,-
Sale,DEAD CAPO,1900,2010s,2012,jazz,lounge,Madrid,rock,rock instrumental,swing,-,-,-,-,-,-,-
L'or noir,ARTHUR H & NICOLAS REPAC,1900,2010s,2012,Francia,poesía,world music,-,-,-,-,-,-,-,-,-,-
Live In Europe 1967. The Bootleg...,MILES DAVIS QUINTET,1900,1960s,1967,2011,Estados Unidos,hard bop,jazz,modal jazz,post-bop,-,-,-,-,-,-,-
The Reality Of My Surroundings,FISHBONE,1900,1990s,1991,Estados Unidos,funk,funk metal,hard rock,rock,rock negro,rock progresivo,ska,-,-,-,-,-
Last Of The Country Gentlemen,JOSH T. PEARSON,1900,2010s,2011,Estados Unidos,folk,-,-,-,-,-,-,-,-,-,-,-
Vigila el fuego,LIDIA DAMUNT,1900,2010s,2012,folk,folk-pop,Murcia,-,-,-,-,-,-,-,-,-,-
Las orillas,McENROE,1900,2010s,2012,Getxo,indie rock,post-rock,sadcore,slowcore,-,-,-,-,-,-,-,-
Let's Change The World With Music,PREFAB SPROUT,1900,2000s,2009,Inglaterra,pop,-,-,-,-,-,-,-,-,-,-,-
We Must Become The Pitiless Censors...,JOHN MAUS,1900,2010s,2011,Estados Unidos,lo-fi,pop,synthpop,-,-,-,-,-,-,-,-,-
Micah P. Hinson And The Opera Circuit,MICAH P. HINSON,1900,2000s,2006,americana,country-folk,Estados Unidos,folk-rock,-,-,-,-,-,-,-,-,-
?in,JOHN TALABOT,1900,2010s,2012,Barcelona,deep house,electrónica,house,pop electrónico,-,-,-,-,-,-,-,-
Born To Die,LANA DEL REY,1900,2010s,2012,pop,pop de cámara,torch song,trip hop,-,-,-,-,-,-,-,-,-
Moor Room,CANCER MOON,1900,1990s,1994,Bilbao,experimental rock,noise rock,rock,rock psicodélico,-,-,-,-,-,-,-,-
Secret Canon Vol. 1,DAYNA KURTZ,1900,2010s,2012,Estados Unidos,jazz,rhythm'n'blues,torch song,vocal jazz,-,-,-,-,-,-,-,-
There Is No-One What Will Take... (RDL 200),THE PALACE BROTHERS,1900,1990s,1993,country-rock,Estados Unidos,folk-rock,indie rock,lo-fi,-,-,-,-,-,-,-,-
"Listen, Whitey! The Sounds Of Black Power 1967-1974",Varios,1900,1960s,1970s,2012,Estados Unidos,folk,funk,gospel,jazz,jazz poetry,pop,recopilación,soul,soul-jazz,spoken word,-
Channel Orange,FRANK OCEAN,1900,2010s,2012,Estados Unidos,hip hop,neosoul,pop,R&B,-,-,-,-,-,-,-,-
Love And Theft,BOB DYLAN,1900,2001,americana,blues-rock,country-blues,Estados Unidos,folk-rock,rhythm'n'blues,rock,roots rock,siglo XXI,-,-,-,-,-
M'bemba,SALIF KEITA,1900,2005,afropop,folk,Malí,música africana,siglo XXI,world music,-,-,-,-,-,-,-,-
Imikuzushi,KEIJI HAINO / JIM O'ROURKE / OREN AMBARCHI,1900,2012,Australia,avant-garde,Estados Unidos,experimental rock,improvisación,Japón,noise rock,rock psicodélico,siglo XXI,-,-,-,-,-
TimePeace,TERRY CALLIER,1900,1990s,1998,Estados Unidos,folk-jazz,rhythm'n'blues,soul,soul-folk,soul-jazz,-,-,-,-,-,-,-
Motas de polvo,UNDO,1900,2012,electrónica,pop electrónico,siglo XXI,synthpop,-,-,-,-,-,-,-,-,-,-
Graceland,PAUL SIMON,1900,1986,afropop,cajun,country,Estados Unidos,música africana,pop,soft rock,township jive,worldbeat,-,-,-,-,-
Outsider/In. The Collection,LUKE HAINES,1900,1990s,2012,britpop,glam rock,indie pop,indie rock,Inglaterra,pop,pop-rock,recopilación,siglo XXI,-,-,-,-
Cuatro rosas (RDL 223),GABINETE CALIGARI,1900,1984,Madrid,movida madrileña,rock,-,-,-,-,-,-,-,-,-,-,-
11 de novembre,SÍLVIA PÉREZ CRUZ,1900,2010s,2012,canción,en catalán,Palafrugell,-,-,-,-,-,-,-,-,-,-
Homenaje a Enrique Morente,LOS EVANGELISTAS,1900,2012,flamenco,flamenco-rock,Granada,siglo XXI,-,-,-,-,-,-,-,-,-,-
The Lost Album,SALIF KEITA & KANTÉ MANFILA,1900,1970s,1979,2005,afropop,folk,Guinea,Malí,música africana,world music,-,-,-,-,-,-
Spooky Action At A Distance,LOTUS PLAZA,1900,2012,dream pop,Estados Unidos,indie rock,lo-fi,pop psicodélico,shoegazing,siglo XXI,-,-,-,-,-,-,-
Minimúsica. Los animales,Varios,1900,2012,Barcelona,en catalán,pop,siglo XXI,-,-,-,-,-,-,-,-,-,-
Oh My Love,QUIMI PORTET,1900,2012,canción,en catalán,pop-rock,rock,siglo XXI,Vic,-,-,-,-,-,-,-,-
Popemas (RDL 196),NOSOTRÄSH,1900,2000s,2002,indie pop,pop,Xixón,-,-,-,-,-,-,-,-,-,-
Crazy Clown Time,DAVID LYNCH,1900,2011,avant-garde,blues-rock,electrónica,Estados Unidos,experimental rock,pop-rock,siglo XXI,synthpop,trip hop,-,-,-,-,-
arteSano,MIGUEL POVEDA,1900,2012,Badalona,flamenco,siglo XXI,-,-,-,-,-,-,-,-,-,-,-
